台北市信義區崇德街,大樓,1 房 1 廳 1 衛,14.07,24,12500000,房仲網
台北市信義區林口街,公寓,0 房 1 廳 1 衛,20.46,45,22000000,房仲網
台北市信義區和平東路三段,大樓,0 房 1 廳 1 衛,16.1,7,15800000,房仲網
台北市信義區永吉路,透天,2 房 2 廳 1 衛,12.96,53,39000000,房仲網
台北市信義區松山路,公寓,7 房 0 廳 7 衛,22.63,42,19800000,房仲網
台北市信義區光復南路,大樓,1 房 1 廳 1 衛,20.17,7,28000000,房仲網
台北市信義區松隆路,大樓,1 房 1 廳 1 衛,9.79,18,9680000,房仲網
台北市信義區吳興街,大樓,1 房 1 廳 2 衛,19.45,1,1498.00000,房仲網
台北市信義區和平東路三段,公寓,2 房 2 廳 1 衛,24.43,36,16000000,房仲網
台北市信義區信義路五段,大樓,1 房 1 廳 1 衛,20.32,8,24980000,房仲網
台北市信義區松勤街,大樓,1 房 1 廳 1 衛,15.7,7,28500000,房仲網
台北市信義區松山路,大樓,1 房 1 廳 1 衛,15.01,20,8850000,房仲網
台北市信義區和平東路三段,大樓,1 房 1 廳 1 衛,13.64,7,14380000,房仲網
台北市信義區信義路四段,大樓,1 房 1 廳 1 衛,15.79,37,1300.00000,房仲網
台北市信義區信義路四段,大樓,1 房 0 廳 1 衛,16,37,1388.00000,房仲網
台北市信義區光復南路,大樓,1 房 1 廳 1 衛,8.48,15,11500000,房仲網
台北市信義區信義路五段,大樓,1 房 1 廳 1 衛,11.9,6,11880000,房仲網
台北市信義區信義路六段,公寓,3 房 2 廳 1 衛,23.54,37,27980000,房仲網
台北市信義區和平東路三段,大樓,1 房 1 廳 1 衛,22.78,7,13500000,房仲網
台北市信義區永吉路,大樓,1 房 2 廳 1 衛,14.03,3,1780.00000,房仲網
台北市信義區松隆路,大樓,1 房 1 廳 1 衛,9.8,19,968.00000,房仲網
台北市信義區基隆路一段,大樓,1 房 1 廳 1 衛,12.22,9,17800000,房仲網
台北市信義區永吉路,大樓,1 房 1 廳 1 衛,15.53,3,1750.00000,房仲網
台北市信義區林口街,公寓,3 房 2 廳 1 衛,23.43,0.1,1600.00000,房仲網
台北市信義區吳興街,公寓,5 房 3 廳 2 衛,22.27,37,1780.00000,房仲網
台北市信義區忠孝東路五段,大樓,0 房 0 廳 1 衛,11.65,10,1750.00000,房仲網
台北市信義區崇德街,大樓,1 房 2 廳 1 衛,15.37,27,14980000,房仲網
台北市信義區永吉路,透天,2 房 2 廳 2 衛,11.57,55,15800000,房仲網
台北市信義區信義路五段,大樓,1 房 0 廳 1 衛,10.11,6,11100000,房仲網
台北市信義區信義路五段,大樓,1 房 0 廳 1 衛,10.1,6,11100000,房仲網
台北市信義區信義路五段,公寓,1 房 1 廳 1 衛,10.1,6,1110.00000,房仲網
